 time            v(uio_in_0)     v(analog_0)     v(analog_1)     v(analog_2)    
 2.10598290e-04  1.50000000e+00  7.59695112e-01  3.41035447e-01  2.76838761e-06 
 2.11598290e-04  1.50000000e+00  7.59710317e-01  3.40894598e-01  2.76838761e-06 
 2.12598290e-04  1.50000000e+00  7.59725139e-01  3.40757524e-01  2.76838761e-06 
 2.13598290e-04  1.50000000e+00  7.59739577e-01  3.40624210e-01  2.76838761e-06 
 2.14598290e-04  1.50000000e+00  7.59753631e-01  3.40494647e-01  2.76838761e-06 
 2.15598290e-04  1.50000000e+00  7.59767299e-01  3.40368821e-01  2.76838761e-06 
 2.16598290e-04  1.50000000e+00  7.59780582e-01  3.40246722e-01  2.76838761e-06 
 2.17598290e-04  1.50000000e+00  7.59793479e-01  3.40128339e-01  2.76838761e-06 
 2.18598290e-04  1.50000000e+00  7.59805989e-01  3.40013660e-01  2.76838761e-06 
 2.19598290e-04  1.50000000e+00  7.59818112e-01  3.39902676e-01  2.76838761e-06 
 2.20598290e-04  1.50000000e+00  7.59829847e-01  3.39795377e-01  2.76838761e-06 
 2.21598290e-04  1.50000000e+00  7.59841194e-01  3.39691753e-01  2.76838761e-06 
 2.22598290e-04  1.50000000e+00  7.59852153e-01  3.39591796e-01  2.76838761e-06 
 2.23598290e-04  1.50000000e+00  7.59862723e-01  3.39495495e-01  2.76838761e-06 
 2.24598290e-04  1.50000000e+00  7.59872904e-01  3.39402843e-01  2.76838761e-06 
 2.25598290e-04  1.50000000e+00  7.59882694e-01  3.39313832e-01  2.76838761e-06 
 2.26598290e-04  1.50000000e+00  7.59892095e-01  3.39228453e-01  2.76838761e-06 
 2.27598290e-04  1.50000000e+00  7.59901105e-01  3.39146700e-01  2.76838761e-06 
 2.28598290e-04  1.50000000e+00  7.59909724e-01  3.39068564e-01  2.76838761e-06 
 2.29598290e-04  1.50000000e+00  7.59917952e-01  3.38994040e-01  2.76838761e-06 
 2.30598290e-04  1.50000000e+00  7.59925788e-01  3.38923121e-01  2.76838761e-06 
 2.31598290e-04  1.50000000e+00  7.59933233e-01  3.38855800e-01  2.76838761e-06 
 2.32598290e-04  1.50000000e+00  7.59940285e-01  3.38792071e-01  2.76838761e-06 
 2.33598290e-04  1.50000000e+00  7.59946945e-01  3.38731930e-01  2.76838761e-06 
 2.34598290e-04  1.50000000e+00  7.59953213e-01  3.38675371e-01  2.76838761e-06 
 2.35598290e-04  1.50000000e+00  7.59959087e-01  3.38622389e-01  2.76838761e-06 
 2.36598290e-04  1.50000000e+00  7.59964568e-01  3.38572979e-01  2.76838761e-06 
 2.37598290e-04  1.50000000e+00  7.59969656e-01  3.38527137e-01  2.76838761e-06 
 2.38598290e-04  1.50000000e+00  7.59974350e-01  3.38484860e-01  2.76838761e-06 
 2.39598290e-04  1.50000000e+00  7.59978651e-01  3.38446143e-01  2.76838761e-06 
 2.40598290e-04  1.50000000e+00  7.59982557e-01  3.38410983e-01  2.76838761e-06 
 2.41598290e-04  1.50000000e+00  7.59986070e-01  3.38379378e-01  2.76838761e-06 
 2.42598290e-04  1.50000000e+00  7.59989188e-01  3.38351324e-01  2.76838761e-06 
 2.43598290e-04  1.50000000e+00  7.59991912e-01  3.38326819e-01  2.76838761e-06 
 2.44598290e-04  1.50000000e+00  7.59994241e-01  3.38305861e-01  2.76838761e-06 
